year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,23.0,09.0,50.0,00.0,21.8,94.2,22.8
2020.0,02.0,23.0,10.0,00.0,00.0,22.8,94.0,23.0
2020.0,02.0,23.0,10.0,10.0,00.0,23.0,93.8,22.4
2020.0,02.0,23.0,10.0,20.0,00.0,22.4,93.2,22.0
2020.0,02.0,23.0,10.0,30.0,00.0,22.0,94.0,22.0
2020.0,02.0,23.0,10.0,40.0,00.0,22.0,94.0,22.2
2020.0,02.0,23.0,10.0,50.0,00.0,22.2,94.0,22.8
2020.0,02.0,23.0,11.0,00.0,00.0,22.8,93.4,22.8
2020.0,02.0,23.0,11.0,10.0,00.0,22.8,93.4,23.0
2020.0,02.0,23.0,11.0,20.0,00.0,23.0,93.0,23.4
2020.0,02.0,23.0,11.0,30.0,00.0,23.4,92.4,23.6
2020.0,02.0,23.0,11.0,40.0,00.0,23.6,91.2,24.8
2020.0,02.0,23.0,11.0,50.0,00.0,24.8,90.2,25.6
2020.0,02.0,23.0,12.0,00.0,00.0,25.6,89.6,26.0
2020.0,02.0,23.0,12.0,10.0,00.0,26.0,89.0,26.0
2020.0,02.0,23.0,12.0,20.0,00.0,26.0,89.0,27.0
2020.0,02.0,23.0,12.0,30.0,00.0,27.0,88.0,27.0
2020.0,02.0,23.0,12.0,40.0,00.0,27.0,87.0,27.4
2020.0,02.0,23.0,12.0,50.0,00.0,27.4,87.0,28.6
2020.0,02.0,23.0,13.0,00.0,00.0,28.6,86.6,29.2
2020.0,02.0,23.0,13.0,10.0,00.0,29.2,86.0,30.2
2020.0,02.0,23.0,13.0,20.0,00.0,30.2,85.6,30.8
2020.0,02.0,23.0,13.0,30.0,00.0,30.8,85.2,31.2
2020.0,02.0,23.0,13.0,40.0,00.0,31.2,85.0,31.8
2020.0,02.0,23.0,13.0,50.0,00.0,31.8,85.0,32.0
2020.0,02.0,23.0,14.0,00.0,00.0,32.0,84.8,32.2
2020.0,02.0,23.0,14.0,10.0,00.0,32.2,84.0,32.8
2020.0,02.0,23.0,14.0,20.0,00.0,32.8,83.8,34.0
2020.0,02.0,23.0,14.0,30.0,00.0,34.0,83.2,34.8
2020.0,02.0,23.0,14.0,40.0,00.0,34.8,83.0,35.8
2020.0,02.0,23.0,14.0,50.0,00.0,35.8,82.8,37.2
2020.0,02.0,23.0,15.0,00.0,00.0,37.2,82.2,38.8
2020.0,02.0,23.0,15.0,10.0,00.0,38.8,82.2,40.2
2020.0,02.0,23.0,15.0,20.0,00.0,40.2,82.0,41.4
2020.0,02.0,23.0,15.0,30.0,00.0,41.4,82.0,42.6
2020.0,02.0,23.0,15.0,40.0,00.0,42.6,81.2,43.2
2020.0,02.0,23.0,15.0,50.0,00.0,43.2,81.2,43.0
2020.0,02.0,23.0,16.0,00.0,00.0,43.0,80.6,43.2
2020.0,02.0,23.0,16.0,10.0,00.0,43.2,80.2,44.0
2020.0,02.0,23.0,16.0,20.0,00.0,44.0,79.8,44.8
2020.0,02.0,23.0,16.0,30.0,00.0,44.8,79.8,45.2
2020.0,02.0,23.0,16.0,40.0,00.0,45.2,79.6,46.6
2020.0,02.0,23.0,16.0,50.0,00.0,46.6,79.0,48.6
2020.0,02.0,23.0,17.0,00.0,00.0,48.6,78.2,49.6
2020.0,02.0,23.0,17.0,10.0,00.0,49.6,78.0,51.4
2020.0,02.0,23.0,17.0,20.0,00.0,51.4,77.8,52.4
2020.0,02.0,23.0,17.0,30.0,00.0,52.4,77.6,52.8
2020.0,02.0,23.0,17.0,40.0,00.0,52.8,77.8,54.0
2020.0,02.0,23.0,17.0,50.0,00.0,54.0,77.0,55.4
2020.0,02.0,23.0,18.0,00.0,00.0,55.4,77.0,56.4
